states,transship,actions1,actions2,logprobs,rewards,is_terminals
"tensor([25.0000, 25.0000,  7.8473, 10.4539, 14.0490,  8.8832,  0.0000,  0.0000])",0,10,5,tensor(-0.0705),-120.0,False
"tensor([20.0000, 13.0000, 10.4539,  2.1479,  8.8832,  0.5035, 10.0000,  5.0000])",0,0,5,tensor(-3.5172),-76.0,False
"tensor([23.0000,  8.0000,  2.1479,  1.5372,  0.5035,  8.5368,  0.0000,  5.0000])",0,0,10,tensor(-1.2377),-72.0,False
"tensor([21.0000, 12.0000,  1.5372,  3.1646,  8.5368,  0.0465,  0.0000, 10.0000])",0,10,5,tensor(-0.1923),-86.0,False
"tensor([20.0000, 13.0000,  3.1646,  1.5846,  0.0465,  2.2413, 10.0000,  5.0000])",0,10,5,tensor(-0.1378),-86.0,False
"tensor([26.0000, 18.0000,  1.5846,  6.4208,  2.2413,  8.5755, 10.0000,  5.0000])",0,10,5,tensor(-0.1029),-108.0,False
"tensor([35.0000, 20.0000,  6.4208, 11.8682,  8.5755,  0.3181, 10.0000,  5.0000])",0,10,5,tensor(-0.1563),-130.0,False
"tensor([39.0000, 16.0000, 11.8682,  0.1243,  0.3181, 12.6716, 10.0000,  5.0000])",0,0,10,tensor(-2.2445),-120.0,False
"tensor([40.0000, 21.0000,  0.1243,  2.9658, 12.6716,  3.9209,  0.0000, 10.0000])",0,10,5,tensor(-0.1780),-142.0,False
"tensor([40.0000, 14.0000,  2.9658, 10.5421,  3.9209,  3.2413, 10.0000,  5.0000])",0,10,20,tensor(-5.4872),-128.0,False
"tensor([49.0000, 15.0000, 10.5421,  2.3719,  3.2413,  6.6975, 10.0000, 20.0000])",0,0,5,tensor(-2.3834),-138.0,False
"tensor([48.0000, 34.0000,  2.3719,  7.4906,  6.6975,  3.3508,  0.0000,  5.0000])",0,10,5,tensor(-0.0540),-184.0,False
"tensor([45.0000, 35.0000,  7.4906,  8.1926,  3.3508,  8.4466, 10.0000,  5.0000])",0,10,5,tensor(-0.0535),-180.0,False
"tensor([45.0000, 35.0000,  8.1926,  4.8991,  8.4466,  5.6967, 10.0000,  5.0000])",0,10,5,tensor(-0.0537),-180.0,False
"tensor([44.0000, 35.0000,  4.8991, 10.6838,  5.6967,  9.8178, 10.0000,  5.0000])",0,10,5,tensor(-0.0517),-178.0,False
"tensor([51.0000, 35.0000, 10.6838,  6.1712,  9.8178,  5.4459, 10.0000,  5.0000])",0,10,5,tensor(-0.0631),-192.0,False
"tensor([50.0000, 29.0000,  6.1712,  8.7210,  5.4459,  8.7765, 10.0000,  5.0000])",0,10,5,tensor(-0.0953),-178.0,False
"tensor([54.0000, 30.0000,  8.7210,  4.3106,  8.7765,  3.1064, 10.0000,  5.0000])",0,10,5,tensor(-0.1016),-188.0,False
"tensor([54.0000, 31.0000,  4.3106,  4.3914,  3.1064, 11.3515, 10.0000,  5.0000])",0,10,5,tensor(-0.0992),-190.0,False
"tensor([57.0000, 28.0000,  4.3914,  6.0248, 11.3515,  8.7072, 10.0000,  5.0000])",0,10,5,tensor(-0.1507),-190.0,False
"tensor([55.0000, 23.0000,  6.0248, 13.7150,  8.7072, 13.2687, 10.0000,  5.0000])",0,10,5,tensor(-0.2511),-176.0,False
"tensor([55.0000, 18.0000, 13.7150,  0.8953, 13.2687, 12.2276, 10.0000,  5.0000])",0,0,15,tensor(-3.2306),-156.0,False
"tensor([45.0000, 11.0000,  0.8953,  3.7159, 12.2276,  4.5389,  0.0000, 15.0000])",0,0,20,tensor(-5.4648),-122.0,False
"tensor([43.0000, 19.0000,  3.7159,  6.2776,  4.5389, 13.8067,  0.0000, 20.0000])",0,10,5,tensor(-0.7391),-144.0,False
"tensor([42.0000, 32.0000,  6.2776,  5.6611, 13.8067,  7.5106, 10.0000,  5.0000])",0,10,5,tensor(-0.0600),-168.0,False
"tensor([49.0000, 21.0000,  5.6611,  7.8722,  7.5106,  2.6707, 10.0000,  5.0000])",0,5,0,tensor(-4.9612),-150.0,False
"tensor([55.0000, 19.0000,  7.8722, 10.4238,  2.6707, 14.9075,  5.0000,  0.0000])",0,10,5,tensor(-0.2525),-168.0,False
"tensor([56.0000, 19.0000, 10.4238,  9.2056, 14.9075,  5.5241, 10.0000,  5.0000])",0,10,5,tensor(-0.4789),-170.0,False
"tensor([40.0000,  8.0000,  9.2056,  8.9749,  5.5241, 12.2702, 10.0000,  5.0000])",0,0,5,tensor(-2.8709),-106.0,False
"tensor([38.0000, 10.0000,  8.9749,  6.2488, 12.2702, 13.0291,  0.0000,  5.0000])",0,20,20,tensor(-2.2956),-116.0,False
"tensor([25.0000,  4.0000,  6.2488,  9.7072, 13.0291, 11.7349, 20.0000, 20.0000])",0,20,20,tensor(-1.5537),-78.0,False
"tensor([41.0000,  9.0000,  9.7072, 13.2890, 11.7349, 12.4527, 20.0000, 20.0000])",0,10,0,tensor(-7.2086),-110.0,False
"tensor([49.0000, 24.0000, 13.2890, 12.6173, 12.4527,  2.7980, 10.0000,  0.0000])",0,10,5,tensor(-0.2122),-166.0,False
"tensor([44.0000, 12.0000, 12.6173,  4.0143,  2.7980,  5.6321, 10.0000,  5.0000])",0,10,5,tensor(-0.8758),-132.0,False
"tensor([42.0000, 17.0000,  4.0143,  7.5325,  5.6321, 14.6831, 10.0000,  5.0000])",0,10,5,tensor(-0.2912),-138.0,False
"tensor([50.0000, 18.0000,  7.5325, 10.1504, 14.6831,  9.4876, 10.0000,  5.0000])",0,10,5,tensor(-0.3826),-156.0,False
"tensor([54.0000,  2.0000, 10.1504,  7.7861,  9.4876, 13.8202, 10.0000,  5.0000])",0,0,10,tensor(-1.7453),-122.0,False
"tensor([46.0000,  1.0000,  7.7861, 14.4034, 13.8202,  5.6287,  0.0000, 10.0000])",0,0,10,tensor(-1.2686),-104.0,False
"tensor([37.0000, -5.0000, 14.4034,  1.5107,  5.6287,  0.2346,  0.0000, 10.0000])",0,5,20,tensor(-1.8122),-344.0,False
"tensor([14.0000,  4.0000,  1.5107, 13.7560,  0.2346,  0.5582,  5.0000, 20.0000])",0,0,10,tensor(-2.1420),-46.0,False
"tensor([17.0000, 24.0000, 13.7560,  6.0841,  0.5582, 13.2808,  0.0000, 10.0000])",0,10,5,tensor(-0.1838),-102.0,False
"tensor([ 4.0000, 33.0000,  6.0841,  4.7607, 13.2808, 11.7722, 10.0000,  5.0000])",0,10,5,tensor(-0.1427),-94.0,False
"tensor([ 8.0000, 23.0000,  4.7607, 10.1270, 11.7722,  4.9759, 10.0000,  5.0000])",0,10,5,tensor(-0.1251),-82.0,False
"tensor([15.0000, 18.0000, 10.1270,  7.3129,  4.9759, 10.8688, 10.0000,  5.0000])",0,20,20,tensor(-2.8928),-86.0,False
"tensor([15.0000, 18.0000,  7.3129,  4.9086, 10.8688, 14.9952, 20.0000, 20.0000])",0,10,5,tensor(-1.1852),-86.0,False
"tensor([28.0000, 24.0000,  4.9086,  0.3621, 14.9952, 11.2525, 10.0000,  5.0000])",0,10,5,tensor(-0.0953),-124.0,False
"tensor([36.0000, 15.0000,  0.3621, 10.4925, 11.2525,  6.0396, 10.0000,  5.0000])",0,10,5,tensor(-0.3896),-122.0,False
"tensor([45.0000,  7.0000, 10.4925,  2.6083,  6.0396, 13.0067, 10.0000,  5.0000])",0,10,5,tensor(-1.8009),-124.0,False
"tensor([49.0000,  8.0000,  2.6083, 13.4125, 13.0067,  7.9163, 10.0000,  5.0000])",0,0,15,tensor(-2.3101),-124.0,False
"tensor([59.0000, -4.0000, 13.4125, 14.5013,  7.9163,  7.8804,  0.0000, 15.0000])",0,10,10,tensor(-5.0846),-338.0,False
"tensor([45.0000,  2.0000, 14.5013,  3.5085,  7.8804,  7.9362, 10.0000, 10.0000])",0,20,5,tensor(-5.8656),-114.0,False
"tensor([44.0000,  7.0000,  3.5085,  7.7290,  7.9362,  3.4385, 20.0000,  5.0000])",0,10,5,tensor(-1.6914),-122.0,False
"tensor([56.0000,  1.0000,  7.7290,  0.4790,  3.4385,  2.1016, 10.0000,  5.0000])",0,0,10,tensor(-1.3540),-124.0,False
"tensor([50.0000,  1.0000,  0.4790, 10.1177,  2.1016,  8.0119,  0.0000, 10.0000])",0,15,20,tensor(-2.1603),-122.0,False
"tensor([50.0000,  7.0000, 10.1177,  7.6405,  8.0119,  8.0720, 15.0000, 20.0000])",0,0,10,tensor(-1.8672),-124.0,False
"tensor([48.0000, 16.0000,  7.6405,  4.6256,  8.0720,  5.4001,  0.0000, 10.0000])",0,0,5,tensor(-3.2829),-138.0,False
"tensor([43.0000,  9.0000,  4.6256,  3.8750,  5.4001,  1.8078,  0.0000,  5.0000])",0,0,10,tensor(-1.1781),-114.0,False
"tensor([36.0000,  7.0000,  3.8750, 11.1434,  1.8078,  6.3158,  0.0000, 10.0000])",0,20,20,tensor(-2.1614),-106.0,False
"tensor([34.0000, 17.0000, 11.1434,  2.1143,  6.3158,  9.3889, 20.0000, 20.0000])",0,0,10,tensor(-2.5935),-112.0,False
"tensor([43.0000, 22.0000,  2.1143, 12.1457,  9.3889,  6.8722,  0.0000, 10.0000])",0,10,5,tensor(-0.1754),-150.0,False
"tensor([40.0000, 18.0000, 12.1457,  3.4447,  6.8722, 10.0974, 10.0000,  5.0000])",0,10,5,tensor(-0.3051),-136.0,False
"tensor([37.0000, 20.0000,  3.4447,  5.9022, 10.0974,  1.8911, 10.0000,  5.0000])",0,10,5,tensor(-0.1237),-134.0,False
"tensor([44.0000, 16.0000,  5.9022,  9.7401,  1.8911,  0.7651, 10.0000,  5.0000])",0,10,5,tensor(-0.4565),-140.0,False
"tensor([46.0000, 15.0000,  9.7401,  7.1200,  0.7651, 13.4129, 10.0000,  5.0000])",0,10,5,tensor(-0.5562),-142.0,False
"tensor([51.0000, 20.0000,  7.1200,  7.7116, 13.4129, 12.0318, 10.0000,  5.0000])",0,10,5,tensor(-0.3273),-162.0,False
"tensor([54.0000, 13.0000,  7.7116,  5.2296, 12.0318,  1.2253, 10.0000,  5.0000])",0,0,5,tensor(-3.0388),-144.0,False
"tensor([51.0000,  5.0000,  5.2296,  9.5458,  1.2253,  0.1909,  0.0000,  5.0000])",0,0,10,tensor(-1.2221),-122.0,False
"tensor([48.0000,  9.0000,  9.5458, 14.2461,  0.1909,  0.9713,  0.0000, 10.0000])",0,20,20,tensor(-2.2268),-134.0,False
"tensor([41.0000, 18.0000, 14.2461,  9.4476,  0.9713, 12.7723, 20.0000, 20.0000])",0,15,5,tensor(-3.7074),-138.0,False
"tensor([51.0000, 37.0000,  9.4476, 13.2613, 12.7723, 11.3900, 15.0000,  5.0000])",0,10,5,tensor(-0.0721),-196.0,False
"tensor([48.0000, 29.0000, 13.2613,  2.1528, 11.3900,  8.4669, 10.0000,  5.0000])",0,10,5,tensor(-0.1019),-174.0,False
"tensor([38.0000, 25.0000,  2.1528,  8.4107,  8.4669,  4.9661, 10.0000,  5.0000])",0,10,5,tensor(-0.0676),-146.0,False
"tensor([47.0000, 22.0000,  8.4107, 10.3827,  4.9661,  3.4028, 10.0000,  5.0000])",0,20,20,tensor(-3.0618),-158.0,False
"tensor([48.0000, 25.0000, 10.3827,  7.7108,  3.4028,  7.5926, 20.0000, 20.0000])",0,10,5,tensor(-0.3674),-166.0,False
"tensor([49.0000, 43.0000,  7.7108,  4.2159,  7.5926, 11.8513, 10.0000,  5.0000])",0,10,5,tensor(-0.0497),-204.0,False
"tensor([50.0000, 41.0000,  4.2159, 14.7446, 11.8513,  7.7726, 10.0000,  5.0000])",0,10,5,tensor(-0.0431),-202.0,False
"tensor([56.0000, 39.0000, 14.7446, 13.0215,  7.7726,  6.9277, 10.0000,  5.0000])",0,10,5,tensor(-0.0652),-210.0,False
"tensor([51.0000, 39.0000, 13.0215, 12.5674,  6.9277,  8.2141, 10.0000,  5.0000])",0,0,5,tensor(-5.0854),-190.0,False
"tensor([52.0000, 36.0000, 12.5674,  7.0852,  8.2141,  5.6802,  0.0000,  5.0000])",0,10,5,tensor(-0.0663),-196.0,False
"tensor([43.0000, 32.0000,  7.0852, 10.8255,  5.6802,  0.9778, 10.0000,  5.0000])",0,10,5,tensor(-0.0502),-170.0,False
"tensor([45.0000, 30.0000, 10.8255, 12.2495,  0.9778, 10.1522, 10.0000,  5.0000])",0,10,5,tensor(-0.0966),-170.0,False
"tensor([48.0000, 35.0000, 12.2495,  0.6674, 10.1522,  6.6585, 10.0000,  5.0000])",0,10,5,tensor(-0.0752),-186.0,False
"tensor([52.0000, 28.0000,  0.6674,  0.0731,  6.6585,  0.5546, 10.0000,  5.0000])",0,10,5,tensor(-0.0968),-180.0,False
"tensor([59.0000, 26.0000,  0.0731, 13.9111,  0.5546,  2.9969, 10.0000,  5.0000])",0,10,5,tensor(-0.2082),-190.0,False
"tensor([60.0000, 30.0000, 13.9111,  7.3285,  2.9969,  2.8480, 10.0000,  5.0000])",0,5,20,tensor(-5.0220),-200.0,False
"tensor([49.0000, 31.0000,  7.3285,  7.7624,  2.8480,  3.9280,  5.0000, 20.0000])",0,10,5,tensor(-0.1313),-180.0,False
"tensor([45.0000, 47.0000,  7.7624, 13.8868,  3.9280,  7.1297, 10.0000,  5.0000])",0,10,5,tensor(-0.0357),-204.0,False
"tensor([49.0000, 49.0000, 13.8868, 11.5060,  7.1297, 11.2596, 10.0000,  5.0000])",0,10,5,tensor(-0.0493),-216.0,False
"tensor([43.0000, 41.0000, 11.5060,  9.4416, 11.2596, 11.6454, 10.0000,  5.0000])",0,10,5,tensor(-0.0525),-188.0,False
"tensor([40.0000, 33.0000,  9.4416,  3.8622, 11.6454,  8.6557, 10.0000,  5.0000])",0,10,5,tensor(-0.0623),-166.0,False
"tensor([41.0000, 21.0000,  3.8622,  4.8932,  8.6557, 14.1709, 10.0000,  5.0000])",0,10,5,tensor(-0.1576),-144.0,False
"tensor([48.0000, 18.0000,  4.8932,  7.6844, 14.1709, 14.3696, 10.0000,  5.0000])",0,10,5,tensor(-0.3860),-152.0,False
"tensor([56.0000, 12.0000,  7.6844,  9.7958, 14.3696,  1.3132, 10.0000,  5.0000])",0,15,0,tensor(-5.1741),-146.0,False
"tensor([47.0000,  3.0000,  9.7958,  4.7785,  1.3132,  8.2229, 15.0000,  0.0000])",0,5,20,tensor(-1.8470),-120.0,False
"tensor([48.0000,  0.0000,  4.7785,  5.4394,  8.2229,  4.3322,  5.0000, 20.0000])",0,0,10,tensor(-1.0712),-106.0,False
"tensor([44.0000,  8.0000,  5.4394,  5.3297,  4.3322, 14.5129,  0.0000, 10.0000])",0,15,20,tensor(-3.1767),-124.0,False
"tensor([38.0000, 15.0000,  5.3297,  4.2801, 14.5129,  7.8236, 15.0000, 20.0000])",0,10,5,tensor(-0.6624),-126.0,False
"tensor([50.0000, 20.0000,  4.2801, 10.3253,  7.8236,  0.7581, 10.0000,  5.0000])",0,10,5,tensor(-0.4104),-160.0,False
"tensor([57.0000, 19.0000, 10.3253,  4.1350,  0.7581,  8.7695, 10.0000,  5.0000])",0,10,5,tensor(-0.4361),-172.0,False
"tensor([53.0000, 23.0000,  4.1350,  4.1478,  8.7695,  0.9327, 10.0000,  5.0000])",0,10,5,tensor(-0.2201),-172.0,False
"tensor([56.0000, 19.0000,  4.1478, 14.6324,  0.9327,  0.6356, 10.0000,  5.0000])",0,5,20,tensor(-3.7857),-170.0,False
"tensor([59.0000, 23.0000, 14.6324, 14.3912,  0.6356,  6.2548,  5.0000, 20.0000])",0,10,5,tensor(-0.5184),-184.0,False
"tensor([45.0000, 43.0000, 14.3912,  8.3134,  6.2548,  9.0101, 10.0000,  5.0000])",0,10,5,tensor(-0.0513),-196.0,False
"tensor([39.0000, 39.0000,  8.3134,  0.7262,  9.0101, 14.3666, 10.0000,  5.0000])",0,10,5,tensor(-0.0632),-176.0,False
"tensor([42.0000, 35.0000,  0.7262, 14.8123, 14.3666,  6.4360, 10.0000,  5.0000])",0,10,5,tensor(-0.0448),-174.0,False
"tensor([50.0000, 30.0000, 14.8123,  7.9290,  6.4360,  5.5671, 10.0000,  5.0000])",0,10,5,tensor(-0.0977),-180.0,False
"tensor([48.0000, 30.0000,  7.9290, 12.6615,  5.5671, 10.4479, 10.0000,  5.0000])",0,10,5,tensor(-0.0891),-176.0,False
"tensor([48.0000, 26.0000, 12.6615, 14.5348, 10.4479,  6.1582, 10.0000,  5.0000])",0,10,5,tensor(-0.1575),-168.0,False
"tensor([47.0000, 21.0000, 14.5348,  2.8782,  6.1582,  1.0409, 10.0000,  5.0000])",0,10,5,tensor(-0.2900),-156.0,False
"tensor([36.0000, 21.0000,  2.8782, 14.9789,  1.0409,  9.9411, 10.0000,  5.0000])",0,10,5,tensor(-0.1744),-134.0,False
"tensor([43.0000, 24.0000, 14.9789, 13.9881,  9.9411, 14.5204, 10.0000,  5.0000])",0,10,5,tensor(-0.2341),-154.0,False
"tensor([39.0000, 23.0000, 13.9881,  3.4783, 14.5204,  1.2308, 10.0000,  5.0000])",0,10,5,tensor(-0.1529),-144.0,False
"tensor([32.0000, 16.0000,  3.4783, 12.3660,  1.2308,  0.9506, 10.0000,  5.0000])",0,10,5,tensor(-0.2128),-116.0,False
"tensor([41.0000, 20.0000, 12.3660, 13.9452,  0.9506,  6.8447, 10.0000,  5.0000])",0,10,5,tensor(-0.2450),-142.0,False
"tensor([39.0000, 25.0000, 13.9452, 11.5575,  6.8447,  1.5652, 10.0000,  5.0000])",0,10,5,tensor(-0.1276),-148.0,False
"tensor([38.0000, 22.0000, 11.5575,  3.4230,  1.5652, 12.1594, 10.0000,  5.0000])",0,10,5,tensor(-0.1680),-140.0,False
"tensor([40.0000, 26.0000,  3.4230, 12.0226, 12.1594,  9.1469, 10.0000,  5.0000])",0,0,15,tensor(-5.8255),-142.0,False
"tensor([44.0000, 20.0000, 12.0226,  8.9047,  9.1469,  0.6283,  0.0000, 15.0000])",0,10,5,tensor(-0.2615),-148.0,False
"tensor([33.0000, 25.0000,  8.9047, 11.3676,  0.6283,  8.3268, 10.0000,  5.0000])",0,10,5,tensor(-0.1017),-136.0,False
"tensor([35.0000, 30.0000, 11.3676,  4.5827,  8.3268,  1.6436, 10.0000,  5.0000])",0,10,5,tensor(-0.0560),-150.0,False
"tensor([31.0000, 20.0000,  4.5827, 12.6768,  1.6436, 14.0809, 10.0000,  5.0000])",0,10,5,tensor(-0.2740),-122.0,False
"tensor([39.0000, 22.0000, 12.6768,  8.3001, 14.0809,  8.0515, 10.0000,  5.0000])",0,10,5,tensor(-0.1803),-142.0,False
"tensor([38.0000, 10.0000,  8.3001, 10.4670,  8.0515, 12.1420, 10.0000,  5.0000])",0,15,20,tensor(-3.0083),-116.0,False
"tensor([35.0000,  4.0000, 10.4670, 12.3556, 12.1420, 13.8261, 15.0000, 20.0000])",0,5,20,tensor(-1.2169),-98.0,False
"tensor([41.0000, 16.0000, 12.3556,  9.8581, 13.8261,  3.4566,  5.0000, 20.0000])",0,0,10,tensor(-1.8250),-124.0,False
"tensor([36.0000, 21.0000,  9.8581, 10.7930,  3.4566,  3.8341,  0.0000, 10.0000])",0,10,5,tensor(-0.1495),-134.0,False
"tensor([28.0000, 29.0000, 10.7930, 14.5137,  3.8341,  6.5330, 10.0000,  5.0000])",0,15,5,tensor(-5.7993),-134.0,False
"tensor([28.0000, 31.0000, 14.5137,  3.5986,  6.5330, 11.7109, 15.0000,  5.0000])",0,10,5,tensor(-0.0959),-138.0,False
