states,transship,actions1,actions2,logprobs,rewards,is_terminals
"tensor([35.0000, 30.0000,  3.5986,  7.1270, 11.7109,  0.4555, 10.0000,  5.0000])",0,10,5,tensor(-0.0453),-150.0,False
"tensor([43.0000, 26.0000,  7.1270,  4.7452,  0.4555,  1.3209, 10.0000,  5.0000])",0,10,5,tensor(-0.0903),-158.0,False
"tensor([45.0000, 31.0000,  4.7452,  7.6160,  1.3209,  2.3417, 10.0000,  5.0000])",0,10,5,tensor(-0.0594),-172.0,False
"tensor([47.0000, 35.0000,  7.6160,  8.4933,  2.3417,  1.8522, 10.0000,  5.0000])",0,10,5,tensor(-0.0494),-184.0,False
"tensor([44.0000, 40.0000,  8.4933, 13.2262,  1.8522,  9.6935, 10.0000,  5.0000])",0,10,5,tensor(-0.0462),-188.0,False
"tensor([47.0000, 44.0000, 13.2262, 10.2829,  9.6935, 11.8456, 10.0000,  5.0000])",0,10,5,tensor(-0.0531),-202.0,False
"tensor([45.0000, 39.0000, 10.2829,  9.1304, 11.8456, 12.9537, 10.0000,  5.0000])",0,10,5,tensor(-0.0577),-188.0,False
"tensor([49.0000, 34.0000,  9.1304, 11.0828, 12.9537,  1.9957, 10.0000,  5.0000])",0,10,5,tensor(-0.0643),-186.0,False
"tensor([49.0000, 29.0000, 11.0828,  1.1913,  1.9957,  7.2977, 10.0000,  5.0000])",0,10,5,tensor(-0.1140),-176.0,False
"tensor([49.0000, 32.0000,  1.1913,  1.5819,  7.2977,  7.8573, 10.0000,  5.0000])",0,10,5,tensor(-0.0767),-182.0,False
"tensor([59.0000, 29.0000,  1.5819,  5.0511,  7.8573,  0.2087, 10.0000,  5.0000])",0,10,5,tensor(-0.1391),-196.0,False
"tensor([59.0000, 26.0000,  5.0511, 13.4563,  0.2087,  8.1318, 10.0000,  5.0000])",0,10,5,tensor(-0.1582),-190.0,False
"tensor([55.0000, 31.0000, 13.4563, 13.6636,  8.1318, 14.6658, 10.0000,  5.0000])",0,10,5,tensor(-0.1299),-192.0,False
"tensor([48.0000, 30.0000, 13.6636,  5.5840, 14.6658,  3.9642, 10.0000,  5.0000])",0,10,5,tensor(-0.1044),-176.0,False
"tensor([45.0000, 26.0000,  5.5840,  8.4756,  3.9642,  3.3100, 10.0000,  5.0000])",0,10,5,tensor(-0.1015),-162.0,False
"tensor([53.0000, 27.0000,  8.4756,  0.8368,  3.3100,  5.1552, 10.0000,  5.0000])",0,10,5,tensor(-0.1611),-180.0,False
"tensor([49.0000, 30.0000,  0.8368,  7.0009,  5.1552, 10.5736, 10.0000,  5.0000])",0,10,5,tensor(-0.0831),-178.0,False
"tensor([58.0000, 29.0000,  7.0009,  2.9741, 10.5736,  4.9525, 10.0000,  5.0000])",0,10,5,tensor(-0.1486),-194.0,False
"tensor([50.0000, 30.0000,  2.9741,  5.6201,  4.9525, 10.1960, 10.0000,  5.0000])",0,10,5,tensor(-0.0851),-180.0,False
"tensor([60.0000, 33.0000,  5.6201,  7.1769, 10.1960,  7.2031, 10.0000,  5.0000])",0,10,5,tensor(-0.1105),-206.0,False
"tensor([54.0000, 34.0000,  7.1769, 13.8405,  7.2031,  9.3847, 10.0000,  5.0000])",0,10,5,tensor(-0.0763),-196.0,False
"tensor([52.0000, 33.0000, 13.8405, 13.0488,  9.3847,  6.5636, 10.0000,  5.0000])",0,10,5,tensor(-0.0934),-190.0,False
"tensor([50.0000, 24.0000, 13.0488,  5.3319,  6.5636,  7.6716, 10.0000,  5.0000])",0,10,5,tensor(-0.2037),-168.0,False
"tensor([50.0000, 21.0000,  5.3319,  1.6200,  7.6716,  8.3848, 10.0000,  5.0000])",0,10,5,tensor(-0.2390),-162.0,False
"tensor([54.0000, 17.0000,  1.6200,  4.5430,  8.3848,  4.4262, 10.0000,  5.0000])",0,10,5,tensor(-0.5725),-162.0,False
"tensor([60.0000, 17.0000,  4.5430, 10.1128,  4.4262, 11.7208, 10.0000,  5.0000])",0,0,10,tensor(-2.0876),-164.0,False
"tensor([56.0000, 16.0000, 10.1128, 12.9760, 11.7208, 10.6185,  0.0000, 10.0000])",0,10,5,tensor(-0.6646),-164.0,False
"tensor([49.0000, 13.0000, 12.9760, 12.0503, 10.6185,  2.0093, 10.0000,  5.0000])",0,20,20,tensor(-2.2562),-144.0,False
"tensor([45.0000,  9.0000, 12.0503,  3.3430,  2.0093, 13.7131, 20.0000, 20.0000])",0,0,5,tensor(-2.1441),-118.0,False
"tensor([48.0000, 28.0000,  3.3430,  1.7925, 13.7131,  9.1304,  0.0000,  5.0000])",0,10,5,tensor(-0.1417),-172.0,False
"tensor([45.0000, 18.0000,  1.7925, 13.1260,  9.1304, 14.3402, 10.0000,  5.0000])",0,20,20,tensor(-2.5599),-146.0,False
"tensor([55.0000, 14.0000, 13.1260,  8.0663, 14.3402,  5.9401, 20.0000, 20.0000])",0,10,5,tensor(-0.9566),-158.0,False
"tensor([47.0000, 19.0000,  8.0663, 13.5858,  5.9401,  7.0183, 10.0000,  5.0000])",0,0,10,tensor(-3.0898),-142.0,False
"tensor([49.0000, 17.0000, 13.5858,  0.1161,  7.0183, 11.7986,  0.0000, 10.0000])",0,10,5,tensor(-0.7230),-152.0,False
"tensor([31.0000, 16.0000,  0.1161,  2.6121, 11.7986,  6.8596, 10.0000,  5.0000])",0,10,5,tensor(-0.1696),-114.0,False
"tensor([41.0000,  8.0000,  2.6121,  0.5198,  6.8596,  9.5028, 10.0000,  5.0000])",0,10,5,tensor(-1.3773),-118.0,False
"tensor([50.0000,  4.0000,  0.5198,  2.3924,  9.5028,  2.9740, 10.0000,  5.0000])",0,0,5,tensor(-3.1209),-118.0,False
"tensor([60.0000, -3.0000,  2.3924,  8.8724,  2.9740,  6.8050,  0.0000,  5.0000])",0,0,10,tensor(-1.1650),-280.0,False
"tensor([58.0000,  3.0000,  8.8724,  6.1895,  6.8050,  5.6039,  0.0000, 10.0000])",0,0,15,tensor(-2.6309),-132.0,False
"tensor([50.0000, 10.0000,  6.1895,  0.4572,  5.6039,  5.3594,  0.0000, 15.0000])",0,10,5,tensor(-1.5424),-140.0,False
"tensor([45.0000, 20.0000,  0.4572,  2.1584,  5.3594,  4.3236, 10.0000,  5.0000])",0,10,5,tensor(-0.1746),-150.0,False
"tensor([54.0000, 17.0000,  2.1584,  8.1582,  4.3236,  5.2930, 10.0000,  5.0000])",0,0,15,tensor(-3.6549),-152.0,False
"tensor([56.0000, 16.0000,  8.1582,  8.1027,  5.2930,  4.9887,  0.0000, 15.0000])",0,20,20,tensor(-2.9035),-164.0,False
"tensor([47.0000, 27.0000,  8.1027,  2.5082,  4.9887, 12.1287, 20.0000, 20.0000])",0,10,5,tensor(-0.3209),-168.0,False
"tensor([50.0000, 44.0000,  2.5082,  6.0633, 12.1287,  7.0949, 10.0000,  5.0000])",0,20,0,tensor(-5.7675),-198.0,False
"tensor([58.0000, 39.0000,  6.0633,  1.1616,  7.0949, 12.1469, 20.0000,  0.0000])",0,10,5,tensor(-0.0799),-214.0,False
"tensor([52.0000, 37.0000,  1.1616, 11.9079, 12.1469,  5.3649, 10.0000,  5.0000])",0,10,5,tensor(-0.0482),-198.0,False
"tensor([58.0000, 29.0000, 11.9079,  3.0743,  5.3649,  4.7293, 10.0000,  5.0000])",0,10,5,tensor(-0.1667),-194.0,False
"tensor([50.0000, 31.0000,  3.0743,  6.1187,  4.7293,  1.3782, 10.0000,  5.0000])",0,10,5,tensor(-0.0705),-182.0,False
"tensor([57.0000, 33.0000,  6.1187,  2.9870,  1.3782,  9.4269, 10.0000,  5.0000])",0,10,5,tensor(-0.1027),-200.0,False
"tensor([54.0000, 38.0000,  2.9870,  5.8135,  9.4269,  0.7850, 10.0000,  5.0000])",0,10,5,tensor(-0.0549),-204.0,False
"tensor([58.0000, 26.0000,  5.8135, 12.9069,  0.7850,  8.1162, 10.0000,  5.0000])",0,10,5,tensor(-0.1571),-188.0,False
"tensor([55.0000, 30.0000, 12.9069, 13.0929,  8.1162,  0.1309, 10.0000,  5.0000])",0,10,5,tensor(-0.1481),-190.0,False
"tensor([34.0000, 28.0000, 13.0929,  9.7225,  0.1309,  2.8085, 10.0000,  5.0000])",0,10,5,tensor(-0.0694),-144.0,False
"tensor([30.0000, 33.0000,  9.7225, 10.4001,  2.8085, 14.3888, 10.0000,  5.0000])",0,10,5,tensor(-0.0670),-146.0,False
"tensor([31.0000, 38.0000, 10.4001,  4.9171, 14.3888, 10.8379, 10.0000,  5.0000])",0,10,5,tensor(-0.0554),-158.0,False
"tensor([25.0000, 29.0000,  4.9171,  8.8175, 10.8379,  7.5521, 10.0000,  5.0000])",0,0,15,tensor(-7.0674),-118.0,False
"tensor([31.0000, 30.0000,  8.8175,  3.0902,  7.5521,  5.0468,  0.0000, 15.0000])",0,10,5,tensor(-0.1106),-142.0,False
"tensor([20.0000, 38.0000,  3.0902,  9.7285,  5.0468, 12.9357, 10.0000,  5.0000])",0,10,5,tensor(-0.0451),-136.0,False
"tensor([29.0000, 36.0000,  9.7285,  1.0769, 12.9357,  8.2611, 10.0000,  5.0000])",0,10,5,tensor(-0.0570),-150.0,False
"tensor([30.0000, 24.0000,  1.0769,  3.3451,  8.2611,  0.4482, 10.0000,  5.0000])",0,10,5,tensor(-0.0481),-128.0,False
"tensor([38.0000, 23.0000,  3.3451,  7.1173,  0.4482, 12.3327, 10.0000,  5.0000])",0,10,5,tensor(-0.1137),-142.0,False
"tensor([48.0000, 27.0000,  7.1173, 13.1794, 12.3327,  7.8155, 10.0000,  5.0000])",0,10,5,tensor(-0.1321),-170.0,False
"tensor([46.0000, 24.0000, 13.1794, 12.3422,  7.8155,  4.1725, 10.0000,  5.0000])",0,10,5,tensor(-0.1850),-160.0,False
"tensor([43.0000, 16.0000, 12.3422,  0.2656,  4.1725,  5.5106, 10.0000,  5.0000])",0,15,20,tensor(-3.5847),-138.0,False
"tensor([41.0000, 18.0000,  0.2656, 10.0977,  5.5106, 14.0184, 15.0000, 20.0000])",0,10,5,tensor(-0.8790),-138.0,False
"tensor([55.0000, 33.0000, 10.0977, 10.9202, 14.0184,  8.9136, 10.0000,  5.0000])",0,10,5,tensor(-0.1010),-196.0,False
"tensor([48.0000, 30.0000, 10.9202,  9.7251,  8.9136,  6.3971, 10.0000,  5.0000])",0,10,5,tensor(-0.0837),-176.0,False
"tensor([46.0000, 20.0000,  9.7251,  0.1749,  6.3971,  5.3716, 10.0000,  5.0000])",0,0,10,tensor(-2.8246),-142.0,False
"tensor([48.0000, 17.0000,  0.1749, 12.1440,  5.3716, 13.8403,  0.0000, 10.0000])",0,10,5,tensor(-0.4729),-150.0,False
"tensor([48.0000, 22.0000, 12.1440,  7.6135, 13.8403, 13.2950, 10.0000,  5.0000])",0,10,5,tensor(-0.2605),-160.0,False
"tensor([51.0000, 19.0000,  7.6135, 13.0377, 13.2950,  7.3681, 10.0000,  5.0000])",0,10,5,tensor(-0.3504),-160.0,False
"tensor([50.0000, 12.0000, 13.0377, 14.1224,  7.3681,  6.3466, 10.0000,  5.0000])",0,10,5,tensor(-0.8555),-144.0,False
"tensor([50.0000,  5.0000, 14.1224, 12.5809,  6.3466,  8.8585, 10.0000,  5.0000])",0,5,0,tensor(-4.4039),-120.0,False
"tensor([47.0000,  5.0000, 12.5809,  9.8760,  8.8585,  9.4811,  5.0000,  0.0000])",0,10,5,tensor(-1.4163),-124.0,False
"tensor([39.0000, -1.0000,  9.8760,  7.6994,  9.4811, 10.6808, 10.0000,  5.0000])",0,5,20,tensor(-1.4828),-148.0,False
"tensor([39.0000, -5.0000,  7.6994,  6.3790, 10.6808,  9.8557,  5.0000, 20.0000])",0,0,15,tensor(-1.7766),-338.0,False
"tensor([33.0000,  3.0000,  6.3790,  9.9585,  9.8557,  6.0478,  0.0000, 15.0000])",0,20,20,tensor(-2.0038),-92.0,False
"tensor([28.0000,  9.0000,  9.9585,  3.0436,  6.0478,  8.5772, 20.0000, 20.0000])",0,0,10,tensor(-2.7123),-84.0,False
"tensor([38.0000, 27.0000,  3.0436, 12.9711,  8.5772,  5.5227,  0.0000, 10.0000])",0,10,5,tensor(-0.0664),-150.0,False
"tensor([35.0000, 30.0000, 12.9711,  5.5804,  5.5227, 12.1585, 10.0000,  5.0000])",0,10,5,tensor(-0.0821),-150.0,False
"tensor([34.0000, 33.0000,  5.5804, 13.8527, 12.1585,  9.8952, 10.0000,  5.0000])",0,10,5,tensor(-0.0507),-154.0,False
"tensor([41.0000, 28.0000, 13.8527,  1.2844,  9.8952,  1.3862, 10.0000,  5.0000])",0,10,5,tensor(-0.0940),-158.0,False
"tensor([39.0000, 27.0000,  1.2844, 12.8096,  1.3862,  7.6514, 10.0000,  5.0000])",0,10,5,tensor(-0.0657),-152.0,False
"tensor([46.0000, 31.0000, 12.8096,  2.0174,  7.6514,  8.8532, 10.0000,  5.0000])",0,10,5,tensor(-0.0851),-174.0,False
"tensor([49.0000, 27.0000,  2.0174, 14.8998,  8.8532, 13.6563, 10.0000,  5.0000])",0,10,5,tensor(-0.1173),-172.0,False
"tensor([58.0000, 18.0000, 14.8998,  4.8000, 13.6563,  5.3265, 10.0000,  5.0000])",0,10,5,tensor(-0.5313),-172.0,False
"tensor([48.0000,  9.0000,  4.8000,  0.2707,  5.3265, 11.9002, 10.0000,  5.0000])",0,10,5,tensor(-1.2513),-134.0,False
"tensor([49.0000,  9.0000,  0.2707, 10.9219, 11.9002,  1.3510, 10.0000,  5.0000])",0,10,5,tensor(-1.3758),-136.0,False
"tensor([59.0000,  6.0000, 10.9219,  2.2064,  1.3510,  8.2810, 10.0000,  5.0000])",0,5,20,tensor(-2.3069),-150.0,False
"tensor([48.0000,  9.0000,  2.2064,  5.2202,  8.2810,  9.3503,  5.0000, 20.0000])",0,5,20,tensor(-2.2290),-134.0,False
"tensor([52.0000, 25.0000,  5.2202,  0.1804,  9.3503,  7.9035,  5.0000, 20.0000])",0,0,10,tensor(-2.3473),-164.0,False
"tensor([54.0000, 37.0000,  0.1804, 13.4658,  7.9035,  6.0558,  0.0000, 10.0000])",0,10,5,tensor(-0.0712),-202.0,False
"tensor([54.0000, 37.0000, 13.4658,  6.4993,  6.0558,  9.5414, 10.0000,  5.0000])",0,10,5,tensor(-0.0742),-202.0,False
"tensor([41.0000, 36.0000,  6.4993,  6.1799,  9.5414,  4.0964, 10.0000,  5.0000])",0,10,5,tensor(-0.0474),-174.0,False
"tensor([43.0000, 35.0000,  6.1799, 14.5876,  4.0964,  4.1250, 10.0000,  5.0000])",0,20,20,tensor(-5.2489),-176.0,False
"tensor([49.0000, 37.0000, 14.5876,  1.4373,  4.1250,  3.8114, 20.0000, 20.0000])",0,10,5,tensor(-0.1435),-192.0,False
"tensor([52.0000, 48.0000,  1.4373,  5.9064,  3.8114,  8.5055, 10.0000,  5.0000])",0,10,5,tensor(-0.0423),-220.0,False
"tensor([60.0000, 50.0000,  5.9064,  4.4272,  8.5055, 14.2658, 10.0000,  5.0000])",0,10,5,tensor(-0.0517),-240.0,False
"tensor([55.0000, 47.0000,  4.4272,  6.8308, 14.2658, 12.4090, 10.0000,  5.0000])",0,10,5,tensor(-0.0449),-224.0,False
"tensor([56.0000, 45.0000,  6.8308,  9.9253, 12.4090,  2.1227, 10.0000,  5.0000])",0,0,5,tensor(-5.4211),-212.0,False
"tensor([52.0000, 40.0000,  9.9253,  1.5824,  2.1227,  5.5714,  0.0000,  5.0000])",0,10,5,tensor(-0.0623),-204.0,False
"tensor([48.0000, 44.0000,  1.5824,  4.5193,  5.5714, 12.4252, 10.0000,  5.0000])",0,10,5,tensor(-0.0457),-204.0,False
"tensor([58.0000, 44.0000,  4.5193,  2.3666, 12.4252,  7.3752, 10.0000,  5.0000])",0,10,5,tensor(-0.0605),-224.0,False
"tensor([56.0000, 41.0000,  2.3666,  4.6211,  7.3752, 11.8457, 10.0000,  5.0000])",0,10,5,tensor(-0.0581),-214.0,False
"tensor([58.0000, 41.0000,  4.6211,  4.5809, 11.8457, 13.4857, 10.0000,  5.0000])",0,10,5,tensor(-0.0717),-218.0,False
"tensor([54.0000, 37.0000,  4.5809, 11.0786, 13.4857, 10.6186, 10.0000,  5.0000])",0,10,5,tensor(-0.0596),-202.0,False
"tensor([57.0000, 32.0000, 11.0786,  1.0233, 10.6186,  6.9291, 10.0000,  5.0000])",0,10,5,tensor(-0.1114),-198.0,False
"tensor([46.0000, 29.0000,  1.0233,  7.1083,  6.9291, 12.6744, 10.0000,  5.0000])",0,0,10,tensor(-4.2111),-160.0,False
"tensor([55.0000, 31.0000,  7.1083,  2.3048, 12.6744,  9.2364,  0.0000, 10.0000])",0,10,5,tensor(-0.1555),-192.0,False
"tensor([50.0000, 25.0000,  2.3048,  1.2395,  9.2364, 12.9087, 10.0000,  5.0000])",0,10,5,tensor(-0.1449),-170.0,False
"tensor([57.0000, 18.0000,  1.2395,  3.0117, 12.9087, 12.2327, 10.0000,  5.0000])",0,10,5,tensor(-0.5107),-170.0,False
"tensor([58.0000,  7.0000,  3.0117,  1.6900, 12.2327,  7.5122, 10.0000,  5.0000])",0,5,20,tensor(-2.7070),-150.0,False
"tensor([58.0000,  1.0000,  1.6900,  0.6317,  7.5122,  4.8267,  5.0000, 20.0000])",0,0,10,tensor(-1.0169),-128.0,False
"tensor([59.0000, 13.0000,  0.6317,  5.6135,  4.8267, 14.0381,  0.0000, 10.0000])",0,10,5,tensor(-0.9529),-164.0,False
"tensor([58.0000, 21.0000,  5.6135,  8.6966, 14.0381, 14.0943, 10.0000,  5.0000])",0,5,15,tensor(-3.7458),-178.0,False
"tensor([51.0000, 11.0000,  8.6966,  3.9214, 14.0943,  3.2779,  5.0000, 15.0000])",0,0,10,tensor(-1.2242),-134.0,False
"tensor([43.0000,  9.0000,  3.9214,  4.0167,  3.2779,  4.4108,  0.0000, 10.0000])",0,5,20,tensor(-3.1112),-124.0,False
"tensor([37.0000, 15.0000,  4.0167,  3.3032,  4.4108,  2.8259,  5.0000, 20.0000])",0,5,20,tensor(-3.3872),-124.0,False
"tensor([39.0000, 27.0000,  3.3032, 12.8395,  2.8259,  9.5776,  5.0000, 20.0000])",0,10,5,tensor(-0.1548),-152.0,False
"tensor([40.0000, 46.0000, 12.8395,  8.5649,  9.5776,  9.8747, 10.0000,  5.0000])",0,10,5,tensor(-0.0466),-192.0,False
"tensor([43.0000, 38.0000,  8.5649,  8.0215,  9.8747,  3.2530, 10.0000,  5.0000])",0,10,5,tensor(-0.0479),-182.0,False
"tensor([48.0000, 30.0000,  8.0215, 13.8701,  3.2530,  3.6851, 10.0000,  5.0000])",0,10,5,tensor(-0.0837),-176.0,False
"tensor([5.2000e+01, 3.2000e+01, 1.3870e+01, 9.3981e+00, 3.6851e+00, 3.6691e-02,
        1.0000e+01, 5.0000e+00])",0,10,5,tensor(-0.0891),-188.0,False
"tensor([4.4000e+01, 3.4000e+01, 9.3981e+00, 4.4430e+00, 3.6691e-02, 9.9730e+00,
        1.0000e+01, 5.0000e+00])",0,10,5,tensor(-0.0582),-176.0,False
"tensor([48.0000, 39.0000,  4.4430,  5.2744,  9.9730,  6.0068, 10.0000,  5.0000])",0,10,5,tensor(-0.0475),-194.0,False
"tensor([51.0000, 33.0000,  5.2744,  8.7239,  6.0068,  0.2345, 10.0000,  5.0000])",0,10,5,tensor(-0.0612),-188.0,False
"tensor([55.0000, 33.0000,  8.7239,  8.0035,  0.2345,  6.3647, 10.0000,  5.0000])",0,10,5,tensor(-0.0855),-196.0,True
