states,actions1,actions2,rewards
"tensor([100., 100.,   8.,  13.,   9.,  11.,   0.,   0.])",28900,0,-650
"tensor([9.2000e+01, 9.1000e+01, 1.3000e+01, 1.1000e+01, 1.1000e+01, 1.0000e+01,
        2.8900e+04, 0.0000e+00])",0,0,-547
"tensor([9987.,   80.,   11.,   17.,   10.,   14.,    0.,    0.])",19013,0,-10437
"tensor([9.9760e+03, 7.0000e+01, 1.7000e+01, 2.0000e+00, 1.4000e+01, 1.0000e+01,
        1.9013e+04, 0.0000e+00])",0,0,-10326
"tensor([9.9830e+03, 5.6000e+01, 2.0000e+00, 3.0000e+00, 1.0000e+01, 2.0000e+00,
        0.0000e+00, 0.0000e+00])",19017,0,-10313
"tensor([9.9810e+03, 4.6000e+01, 3.0000e+00, 9.0000e+00, 2.0000e+00, 4.0000e+00,
        1.9017e+04, 0.0000e+00])",0,0,-10211
"tensor([9.9970e+03, 4.4000e+01, 9.0000e+00, 2.3000e+01, 4.0000e+00, 1.1000e+01,
        0.0000e+00, 0.0000e+00])",19003,0,-10267
"tensor([9.9880e+03, 4.0000e+01, 2.3000e+01, 1.3000e+01, 1.1000e+01, 1.7000e+01,
        1.9003e+04, 0.0000e+00])",0,0,-10188
"tensor([9.9770e+03, 2.9000e+01, 1.3000e+01, 4.0000e+00, 1.7000e+01, 3.0000e+00,
        0.0000e+00, 0.0000e+00])",19023,0,-10172
"tensor([9.9640e+03, 1.2000e+01, 4.0000e+00, 5.0000e+00, 3.0000e+00, 1.0000e+00,
        1.9023e+04, 0.0000e+00])",0,12,-10074
"tensor([9.9960e+03, 9.0000e+00, 5.0000e+00, 2.0000e+00, 1.0000e+00, 2.1000e+01,
        0.0000e+00, 1.2000e+01])",19004,0,-10091
"tensor([9.9910e+03, 2.0000e+01, 2.0000e+00, 1.3000e+01, 2.1000e+01, 1.3000e+01,
        1.9004e+04, 0.0000e+00])",0,0,-10091
"tensor([ 9.9980e+03, -1.0000e+00,  1.3000e+01,  2.2000e+01,  1.3000e+01,
         8.0000e+00,  0.0000e+00,  0.0000e+00])",19002,25,-10103
"tensor([ 9.9850e+03, -1.3000e+01,  2.2000e+01,  4.0000e+00,  8.0000e+00,
         1.7000e+01,  1.9002e+04,  2.5000e+01])",0,12,-10100
"tensor([9.9780e+03, 1.7000e+01, 4.0000e+00, 1.3000e+01, 1.7000e+01, 1.1000e+01,
        0.0000e+00, 1.2000e+01])",19022,0,-10113
"tensor([9.9740e+03, 1.2000e+01, 1.3000e+01, 1.1000e+01, 1.1000e+01, 0.0000e+00,
        1.9022e+04, 0.0000e+00])",0,12,-10084
"tensor([9.9870e+03, 1.0000e+00, 1.1000e+01, 1.1000e+01, 0.0000e+00, 1.5000e+01,
        0.0000e+00, 1.2000e+01])",19013,11,-10092
"tensor([9.9760e+03, 1.3000e+01, 1.1000e+01, 1.0000e+01, 1.5000e+01, 1.8000e+01,
        1.9013e+04, 1.1000e+01])",0,0,-10041
"tensor([9.9890e+03, 9.0000e+00, 1.0000e+01, 1.3000e+01, 1.8000e+01, 2.2000e+01,
        0.0000e+00, 0.0000e+00])",19011,15,-10134
"tensor([ 9.9790e+03, -9.0000e+00,  1.3000e+01,  0.0000e+00,  2.2000e+01,
         9.0000e+00,  1.9011e+04,  1.5000e+01])",0,18,-10074
"tensor([ 9.9870e+03, -7.0000e+00,  0.0000e+00,  8.0000e+00,  9.0000e+00,
         2.0000e+01,  0.0000e+00,  1.8000e+01])",19013,13,-10122
"tensor([9.9870e+03, 9.0000e+00, 8.0000e+00, 9.0000e+00, 2.0000e+01, 8.0000e+00,
        1.9013e+04, 1.3000e+01])",0,0,-10032
"tensor([9.9920e+03, 2.0000e+00, 9.0000e+00, 7.0000e+00, 8.0000e+00, 1.9000e+01,
        0.0000e+00, 0.0000e+00])",19008,22,-10102
"tensor([ 9.9830e+03, -6.0000e+00,  7.0000e+00,  2.0000e+00,  1.9000e+01,
         7.0000e+00,  1.9008e+04,  2.2000e+01])",0,8,-10063
"tensor([9.9930e+03, 3.0000e+00, 2.0000e+00, 2.0000e+00, 7.0000e+00, 2.4000e+01,
        0.0000e+00, 8.0000e+00])",19007,13,-10108
"tensor([9.9910e+03, 4.0000e+00, 2.0000e+00, 5.0000e+00, 2.4000e+01, 1.0000e+00,
        1.9007e+04, 1.3000e+01])",0,7,-10061
"tensor([ 9.9980e+03, -7.0000e+00,  5.0000e+00,  2.0000e+00,  1.0000e+00,
         8.0000e+00,  0.0000e+00,  7.0000e+00])",19002,24,-10133
"tensor([9.9930e+03, 6.0000e+00, 2.0000e+00, 2.1000e+01, 8.0000e+00, 2.4000e+01,
        1.9002e+04, 2.4000e+01])",0,0,-10023
"tensor([9.9980e+03, 2.2000e+01, 2.1000e+01, 1.0000e+00, 2.4000e+01, 1.5000e+01,
        0.0000e+00, 0.0000e+00])",19002,0,-10158
"tensor([ 9.9770e+03, -2.0000e+00,  1.0000e+00,  1.1000e+01,  1.5000e+01,
         7.0000e+00,  1.9002e+04,  0.0000e+00])",0,26,-10037
"tensor([ 9.9990e+03, -1.5000e+01,  1.1000e+01,  6.0000e+00,  7.0000e+00,
         1.6000e+01,  0.0000e+00,  2.6000e+01])",19001,13,-10174
"tensor([9.9880e+03, 1.9000e+01, 6.0000e+00, 1.9000e+01, 1.6000e+01, 1.0000e+01,
        1.9001e+04, 1.3000e+01])",0,0,-10083
"tensor([9.9940e+03, 1.6000e+01, 1.9000e+01, 8.0000e+00, 1.0000e+01, 1.5000e+01,
        0.0000e+00, 0.0000e+00])",19006,8,-10174
"tensor([9.9750e+03, 6.0000e+00, 8.0000e+00, 4.0000e+00, 1.5000e+01, 1.0000e+01,
        1.9006e+04, 8.0000e+00])",0,10,-10055
"tensor([ 9.9920e+03, -1.0000e+00,  4.0000e+00,  0.0000e+00,  1.0000e+01,
         8.0000e+00,  0.0000e+00,  1.0000e+01])",19008,15,-10097
"tensor([9.9880e+03, 0.0000e+00, 0.0000e+00, 1.1000e+01, 8.0000e+00, 9.0000e+00,
        1.9008e+04, 1.5000e+01])",0,9,-10038
"tensor([1.0000e+04, 7.0000e+00, 1.1000e+01, 2.0000e+00, 9.0000e+00, 1.4000e+01,
        0.0000e+00, 9.0000e+00])",19000,8,-10135
"tensor([9.9890e+03, 7.0000e+00, 2.0000e+00, 2.0000e+01, 1.4000e+01, 9.0000e+00,
        1.9000e+04, 8.0000e+00])",0,9,-10074
"tensor([9.9980e+03, 1.0000e+00, 2.0000e+01, 2.0000e+00, 9.0000e+00, 1.6000e+01,
        0.0000e+00, 9.0000e+00])",19002,14,-10103
"tensor([9.9780e+03, 1.0000e+00, 2.0000e+00, 2.3000e+01, 1.6000e+01, 3.0000e+00,
        1.9002e+04, 1.4000e+01])",0,9,-10033
"tensor([ 9.9980e+03, -1.0000e+00,  2.3000e+01,  6.0000e+00,  3.0000e+00,
         0.0000e+00,  0.0000e+00,  9.0000e+00])",19002,16,-10103
"tensor([9.9750e+03, 6.0000e+00, 6.0000e+00, 9.0000e+00, 0.0000e+00, 7.0000e+00,
        1.9002e+04, 1.6000e+01])",0,0,-10005
"tensor([9.9940e+03, 2.2000e+01, 9.0000e+00, 6.0000e+00, 7.0000e+00, 1.5000e+01,
        0.0000e+00, 0.0000e+00])",19006,0,-10154
"tensor([9.9850e+03, 1.5000e+01, 6.0000e+00, 7.0000e+00, 1.5000e+01, 7.0000e+00,
        1.9006e+04, 0.0000e+00])",0,9,-10110
"tensor([9.9940e+03, 0.0000e+00, 7.0000e+00, 4.0000e+00, 7.0000e+00, 1.3000e+01,
        0.0000e+00, 9.0000e+00])",19006,15,-10094
"tensor([9.9870e+03, 2.0000e+00, 4.0000e+00, 1.4000e+01, 1.3000e+01, 3.0000e+00,
        1.9006e+04, 1.5000e+01])",0,7,-10047
"tensor([9.9960e+03, 4.0000e+00, 1.4000e+01, 2.0000e+01, 3.0000e+00, 1.7000e+01,
        0.0000e+00, 7.0000e+00])",19004,13,-10116
"tensor([9.9820e+03, 8.0000e+00, 2.0000e+01, 2.0000e+00, 1.7000e+01, 3.0000e+00,
        1.9004e+04, 1.3000e+01])",0,0,-10022
"tensor([9.9800e+03, 4.0000e+00, 2.0000e+00, 4.0000e+00, 3.0000e+00, 2.0000e+00,
        0.0000e+00, 0.0000e+00])",19020,20,-10100
"tensor([9.9780e+03, 1.0000e+00, 4.0000e+00, 1.2000e+01, 2.0000e+00, 1.0000e+00,
        1.9020e+04, 2.0000e+01])",0,0,-9983
"tensor([9.9960e+03, 1.9000e+01, 1.2000e+01, 1.0000e+00, 1.0000e+00, 4.0000e+00,
        0.0000e+00, 0.0000e+00])",19004,5,-10191
"tensor([9.9840e+03, 1.8000e+01, 1.0000e+00, 1.7000e+01, 4.0000e+00, 7.0000e+00,
        1.9004e+04, 5.0000e+00])",0,0,-10074
"tensor([9.9990e+03, 1.9000e+01, 1.7000e+01, 9.0000e+00, 7.0000e+00, 4.0000e+00,
        0.0000e+00, 0.0000e+00])",19001,5,-10194
"tensor([9.9820e+03, 1.2000e+01, 9.0000e+00, 3.0000e+00, 4.0000e+00, 1.7000e+01,
        1.9001e+04, 5.0000e+00])",0,7,-10092
"tensor([9.9910e+03, 1.3000e+01, 3.0000e+00, 1.1000e+01, 1.7000e+01, 3.0000e+00,
        0.0000e+00, 7.0000e+00])",19009,0,-10106
"tensor([9.9880e+03, 3.0000e+00, 1.1000e+01, 0.0000e+00, 3.0000e+00, 1.0000e+00,
        1.9009e+04, 0.0000e+00])",0,21,-10053
"tensor([9.9890e+03, 0.0000e+00, 0.0000e+00, 1.4000e+01, 1.0000e+00, 1.4000e+01,
        0.0000e+00, 2.1000e+01])",19011,0,-10039
"tensor([9.9890e+03, 2.0000e+01, 1.4000e+01, 1.1000e+01, 1.4000e+01, 7.0000e+00,
        1.9011e+04, 0.0000e+00])",0,0,-10089
"tensor([9.9860e+03, 6.0000e+00, 1.1000e+01, 1.9000e+01, 7.0000e+00, 2.2000e+01,
        0.0000e+00, 0.0000e+00])",19014,18,-10116
"tensor([ 9.9750e+03, -1.0000e+00,  1.9000e+01,  6.0000e+00,  2.2000e+01,
         0.0000e+00,  1.9014e+04,  1.8000e+01])",0,7,-10030
"tensor([ 9.9810e+03, -4.0000e+00,  6.0000e+00,  1.1000e+01,  0.0000e+00,
         2.5000e+01,  0.0000e+00,  7.0000e+00])",19019,21,-10101
"tensor([9.9750e+03, 7.0000e+00, 1.1000e+01, 1.3000e+01, 2.5000e+01, 1.0000e+01,
        1.9019e+04, 2.1000e+01])",0,0,-10010
"tensor([9.9890e+03, 3.0000e+00, 1.3000e+01, 0.0000e+00, 1.0000e+01, 1.8000e+01,
        0.0000e+00, 0.0000e+00])",19011,21,-10104
